mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
0,Avatar,http://www.avatarmovie.com/,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,United States of America,2009-12-10,2787965087,162.0,English,7.2,11800,Action,Adventure,Fantasy,culture clash,future,space war
1,Pirates of the Caribbean: At World's End,http://disney.go.com/disneypictures/pirates/,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,United States of America,2007-05-19,961000000,169.0,English,6.9,4500,Adventure,Fantasy,Action,ocean,drug abuse,exotic island
2,John Carter,http://movies.disney.com/john-carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,United States of America,2012-03-07,284139100,132.0,English,6.1,2124,Action,Adventure,Science Fiction,based on novel,mars,medallion
4,Tangled,http://disney.go.com/disneypictures/tangled/,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,United States of America,2010-11-24,591794936,100.0,English,7.4,3330,Animation,Family,,hostage,magic,horse
7,Pirates of the Caribbean: Dead Man's Chest,http://disney.go.com/disneypictures/pirates/,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,Jamaica,2006-06-20,1065659812,151.0,English,7.0,5246,Adventure,Fantasy,Action,witch,fortune teller,bondage
8,The Chronicles of Narnia: Prince Caspian,,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,Czech Republic,2008-05-15,419651413,150.0,English,6.3,1630,Adventure,Family,Fantasy,based on novel,fictional place,brother sister relationship
9,Pirates of the Caribbean: On Stranger Tides,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,United States of America,2011-05-14,1045713802,136.0,English,6.4,4948,Adventure,Action,Fantasy,sea,captain,mutiny
10,Robin Hood,http://www.robinhoodthemovie.com/,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,United Kingdom,2010-05-12,310669540,140.0,English,6.2,1398,Action,Adventure,,robin hood,archer,knight
13,Alice in Wonderland,http://disney.go.com/wonderland/,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,United States of America,2010-03-03,1025491110,108.0,English,6.4,4645,Family,Fantasy,Adventure,based on novel,fictional place,queen
14,X-Men: The Last Stand,,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,Canada,2006-05-24,459359555,104.0,English,6.3,3525,Adventure,Action,Science Fiction,mutant,marvel comic,based on comic book
15,Monsters University,,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,United States of America,2013-06-20,743559607,104.0,English,7.0,3528,Animation,Family,,monster,dormitory,games
16,Cars 2,http://www.disney.go.com/cars/,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,United States of America,2011-06-11,559852396,106.0,English,5.8,2033,Animation,Family,Adventure,car race,sequel,comedy
18,Toy Story 3,http://disney.go.com/toystory/,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",59.995418,United States of America,2010-06-16,1066969703,103.0,English,7.6,4597,Animation,Family,Comedy,hostage,college,toy
20,X-Men: Days of Future Past,http://www.x-menmovies.com/,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,118.078691,United Kingdom,2014-05-15,747862775,131.0,English,7.5,6032,Action,Adventure,Fantasy,1970s,mutant,time travel
21,Prince of Persia: The Sands of Time,http://disney.go.com/disneypictures/princeofpersia,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",62.169881,United States of America,2010-05-19,335154643,116.0,English,6.2,2317,Adventure,Fantasy,Action,persia,sandstorm,brother against brother
23,The Good Dinosaur,http://movies.disney.com/the-good-dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,51.692953,United States of America,2015-11-14,331926147,93.0,English,6.6,1736,Adventure,Animation,Family,tyrannosaurus rex,friends,alternate history
24,Brave,http://disney.go.com/brave/#/home,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",125.114374,United States of America,2012-06-21,538983207,93.0,English,6.7,4641,Animation,Adventure,Comedy,scotland,rebel,bravery
28,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",67.391328,United Kingdom,2005-12-07,748806957,143.0,English,6.7,2629,Adventure,Family,Fantasy,saving the world,witch,based on novel
29,X-Men: Apocalypse,http://www.foxmovies.com/movies/x-men-apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",139.272042,United States of America,2016-05-18,543934787,144.0,English,6.4,4721,Science Fiction,,,mutant,supernatural powers,marvel comic
30,Up,http://disney.go.com/disneypictures/up/,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",92.201962,United States of America,2009-05-13,735099082,96.0,English,7.7,6870,Animation,Comedy,Family,age difference,central and south america,balloon
34,Inside Out,http://movies.disney.com/inside-out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",128.655964,United States of America,2015-06-09,857611174,94.0,English,8.0,6560,Drama,Comedy,Animation,dream,cartoon,imaginary friend
35,The Jungle Book,http://movies.disney.com/the-jungle-book-2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",94.199316,United Kingdom,2016-04-07,966550600,106.0,English,6.7,2892,Family,Adventure,Drama,based on novel,snake,wolf
36,Maleficent,http://movies.disney.com/maleficent,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",110.620647,United States of America,2014-05-28,758539785,97.0,English,7.0,4496,Fantasy,Adventure,Action,fairy tale,villain,sleeping beauty
38,Tomorrowland,http://movies.disney.com/tomorrowland,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",130.311355,United States of America,2015-05-19,209154322,130.0,English,6.2,2846,Adventure,Family,Mystery,inventor,apocalypse,destiny
39,Big Hero 6,http://movies.disney.com/big-hero-6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",203.73459,United States of America,2014-10-24,652105443,102.0,English,7.8,6135,Adventure,Family,Animation,brother brother relationship,hero,talent
40,Wreck-It Ralph,http://disney.go.com/wreck-it-ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",62.341073,United States of America,2012-11-01,471222889,108.0,English,7.1,4570,Family,Animation,Comedy,support group,product placement,bullying
44,X-Men: First Class,http://www.x-menfirstclassmovie.com/,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",3.195174,United States of America,2011-05-24,353624124,132.0,Deutsch,7.1,5181,Action,Science Fiction,Adventure,cia,mutant,mine
45,The Sorcerer's Apprentice,http://disney.go.com/disneypictures/sorcerersapprentice/,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",35.580815,United States of America,2010-07-13,215283742,109.0,English,5.8,1470,Fantasy,Adventure,Action,witch,fire,wolf
47,Alice Through the Looking Glass,http://movies.disney.com/alice-through-the-looking-glass,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",56.268916,United Kingdom,2016-05-25,299370084,113.0,English,6.5,1725,Fantasy,,,based on novel,clock,queen
49,Ratatouille,http://disney.go.com/disneypictures/ratatouille/,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",65.677399,United States of America,2007-06-22,623722818,111.0,English,7.5,4369,Animation,Comedy,Family,paris,brother brother relationship,expensive restaurant
51,Night at the Museum: Battle of the Smithsonian,http://www.nightatthemuseummovie.com,"Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",81.781591,United States of America,2009-05-20,413106170,105.0,English,5.9,1971,Adventure,Fantasy,Action,museum,theodore roosevelt,duringcreditsstinger
52,X-Men Origins: Wolverine,http://www.x-menorigins.com/,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",5.954334,United States of America,2009-04-28,373062864,107.0,English,6.2,4021,Adventure,Action,Thriller,corruption,mutant,boxer
54,Frozen,http://movies.disney.com/frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",165.125366,United States of America,2013-11-27,1274219009,102.0,English,7.3,5295,Animation,Adventure,Family,queen,musical,princess
57,Bolt,http://movies.disney.com/bolt,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",41.845878,United States of America,2008-11-21,309979994,98.0,English,6.3,1750,Animation,Family,Adventure,hamster,kids and family,animal
58,G-Force,http://disney.go.com/disneypictures/gforce/,"A team of trained secret agent animals, guinea pigs Darwin, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",26.710398,United States of America,2009-07-21,292817841,88.0,English,5.1,510,Fantasy,Action,Adventure,dyr,duringcreditsstinger,
62,Mars Needs Moms,http://disney.go.com/disneypictures/marsneedsmoms/#home,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",12.362599,United States of America,2011-03-09,38992758,88.0,English,5.5,199,Adventure,Animation,Family,boy,alien,rescue
88,Dinosaur,,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,26.548594,United States of America,2000-05-19,354248063,82.0,English,6.2,542,Animation,Family,,cataclysm,asteroid,leader
89,Pirates of the Caribbean: The Curse of the Black Pearl,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,United States of America,2003-07-09,655011224,143.0,English,7.5,6985,Adventure,Fantasy,Action,exotic island,blacksmith,east india trading company
91,X2,,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses –  Magneto and Mystique – to unhinge Stryker's scheme to exterminate all mutants.",2.871739,United States of America,2003-04-24,407711549,133.0,English,6.8,3506,Adventure,Action,Science Fiction,mutant,marvel comic,superhero
101,"Monsters, Inc.",http://movies.disney.com/monsters-inc,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",106.815545,United States of America,2001-11-01,562816256,92.0,English,7.5,5996,Animation,Comedy,Family,monster,infant,energy supply
105,Fantastic Four,http://www.fantasticfourmovie.com/,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",38.126095,United States of America,2015-08-05,167977596,100.0,English,4.4,2278,Action,Adventure,Science Fiction,teleportation,transformation,telekinesis
106,Night at the Museum,,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue.",48.780039,United States of America,2006-10-20,574480841,108.0,English,6.3,2862,Action,Adventure,Comedy,museum,skeleton,night shift
112,Home on the Range,http://movies.disney.com/home-on-the-range,"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",19.625972,United States of America,2004-04-02,103951461,76.0,普通话,5.7,389,Animation,Family,,farm,cow,animal
115,Around the World in 80 Days,,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",22.643776,Germany,2004-06-16,72178895,120.0,Deutsch,5.7,672,Action,Adventure,Comedy,paris,london england,new york
118,The Princess and the Frog,http://disney.go.com/disneypictures/princessandthefrog/,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",62.479574,United States of America,2009-12-08,267045765,97.0,Français,6.7,1247,Romance,Family,Animation,based on novel,voodoo,kiss
124,The Hunchback of Notre Dame,,"When Quasi defies the evil Frollo and ventures out to the Festival of Fools, the cruel crowd jeers him. Rescued by fellow outcast the gypsy Esmeralda, Quasi soon finds himself battling to save the people and the city he loves.",46.727941,United States of America,1996-06-21,100138851,91.0,Latin,6.8,1129,Drama,Animation,Family,paris,based on novel,judge
125,The Emperor's New Groove,,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",51.113717,United States of America,2000-12-09,169327687,78.0,English,7.2,1490,Adventure,Animation,Comedy,central and south america,birthday,emperor
127,National Treasure,,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",58.849256,United States of America,2004-11-19,347451894,131.0,Latin,6.4,1926,Adventure,Action,Thriller,riddle,treasure,treasure hunt
128,Eragon,http://www.eragonmovie.com/,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",30.863434,United Kingdom,2006-12-14,249288105,104.0,English,4.9,967,Fantasy,Action,Adventure,based on novel,mythical creature,dragon
132,Hercules,,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",76.842247,United States of America,2014-07-23,243400000,99.0,English,5.6,1680,Action,Adventure,,mercenary,battle,ancient greece
133,Treasure Planet,,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",38.924136,United States of America,2002-11-26,109578115,95.0,English,7.2,948,Adventure,Animation,Family,cyborg,based on novel,space marine
136,The Peanuts Movie,http://www.peanutsmovie.com/,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.",34.308098,United States of America,2015-11-05,246233113,88.0,English,6.5,604,Animation,,,based on comic strip,family,3d
142,Cinderella,http://movies.disney.com/cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",101.187052,United Kingdom,2015-03-12,543514353,105.0,English,6.7,2374,Romance,Fantasy,Family,cinderella,magic,prince
144,Finding Nemo,http://movies.disney.com/finding-nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",85.688789,United States of America,2003-05-30,940335536,100.0,English,7.6,6122,Animation,Family,,father son relationship,harbor,underwater
151,The Incredibles,http://disney.go.com/disneyvideos/animatedfilms/incredibles/main.html,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",77.817571,United States of America,2004-11-05,631442092,115.0,Français,7.4,5152,Action,Adventure,Animation,secret identity,secret,hero
